incident_key,occur_date,boro,fatal,vic_age_group,vic_sex,vic_race,latitude,longitude
244608249,2022-05-05,MANHATTAN,TRUE,25-44,M,BLACK,40.754692,-73.9935
247542571,2022-07-04,BRONX,TRUE,18-24,M,BLACK,40.854402,-73.88233
84967535,2012-05-27,QUEENS,FALSE,18-24,M,BLACK,40.71063412500007,-73.76777349199995
202853370,2019-09-24,BRONX,FALSE,25-44,M,BLACK,40.832416753000075,-73.89071440599997
27078636,2007-02-25,BROOKLYN,FALSE,25-44,M,BLACK,40.68844345900004,-73.91021857399994
230311078,2021-07-01,MANHATTAN,FALSE,25-44,M,BLACK,40.79772716600007,-73.94650786199998
229224142,2021-06-07,QUEENS,TRUE,45-64,M,BLACK,40.673306465000046,-73.78988688199998
231246224,2021-07-22,BROOKLYN,FALSE,25-44,M,BLACK,40.66858395700007,-73.92697993199994
228559720,2021-05-22,BRONX,FALSE,18-24,M,BLACK,40.85150771400003,-73.88382239499998
238210279,2021-12-22,BRONX,TRUE,25-44,M,BLACK,40.86046306400005,-73.86556104899995
233431365,2021-09-10,BROOKLYN,FALSE,25-44,M,BLACK,40.675388531000074,-73.90819699999997
238238212,2021-12-23,QUEENS,TRUE,25-44,M,BLACK,40.76974371900008,-73.90987205399993
227089385,2021-04-18,QUEENS,TRUE,18-24,M,BLACK,40.76366214500007,-73.91449012799995
236818010,2021-11-22,MANHATTAN,FALSE,25-44,M,BLACK,40.804816163000055,-73.95126656699995
230713944,2021-07-10,BRONX,FALSE,18-24,M,BLACK,40.83413887300003,-73.85235185799998
228865038,2021-05-28,BROOKLYN,FALSE,18-24,M,BLACK,40.66519388900008,-73.95995105499998
232263466,2021-08-13,QUEENS,FALSE,25-44,M,BLACK,40.68930978800007,-73.81628200299998
229643175,2021-06-16,QUEENS,FALSE,25-44,M,BLACK,40.68114737700005,-73.74963982599996
224465138,2021-02-16,MANHATTAN,FALSE,65+,F,WHITE,40.71793522900003,-73.985672762
228566033,2021-05-23,BRONX,FALSE,18-24,M,WHITE HISPANIC,40.81669937700008,-73.89244544699994
230741367,2021-07-11,QUEENS,TRUE,18-24,M,BLACK,40.70418988600005,-73.756066977
233429422,2021-09-11,BROOKLYN,FALSE,25-44,M,BLACK,40.66486580000004,-73.92024708999998
236403182,2021-11-17,BRONX,FALSE,18-24,M,BLACK,40.87137556200002,-73.86286333099997
229848435,2021-06-20,BRONX,FALSE,25-44,M,BLACK,40.84941844700006,-73.90088675199996
235259981,2021-10-21,MANHATTAN,FALSE,25-44,M,BLACK,40.81471564200007,-73.93826454499998
231005016,2021-07-17,BROOKLYN,FALSE,25-44,M,BLACK,40.69151240700006,-73.90955229099995
235428526,2021-10-22,BRONX,FALSE,25-44,M,BLACK,40.84783644000004,-73.89354088999994
222524733,2021-01-01,QUEENS,FALSE,18-24,M,BLACK,40.75401807000002,-73.94839096099996
85744761,2012-07-15,BRONX,FALSE,18-24,F,BLACK,40.841704951000054,-73.86714287199999
227950644,2021-05-06,QUEENS,FALSE,25-44,M,BLACK,40.59396410300008,-73.79525678499994
237908431,2021-12-15,QUEENS,FALSE,25-44,M,BLACK,40.73717073000005,-73.86404887999998
238040457,2021-12-18,BROOKLYN,FALSE,25-44,M,BLACK,40.676337363000066,-73.86546353999995
